title,location,budget,job_type,experience,rating,skills,page
AI Creative Engineer – Food & Fashion Brand Visuals,United Arab Emirates,$30.00,Fixed-price,Intermediate,5.0,"AI Image Generation, AI Image Editing, Midjourney AI, Adobe Photoshop, Photo Retouching",3
AI Prompt Engineer for Recruiting and Sales Pipelines,USA,"$2,000.00",N/A,Intermediate,N/A,"LinkedIn Recruiting, Artificial Intelligence, Machine Learning, JavaScript, React, Node.js, bolt.new, claude code, windsurf, Prompt Engineering",3
AI Engineer Needed for Agentic Workflow Development,Pakistan,$15.00,Hourly,Intermediate,5.0,"LangChain, OpenAI API, Python, JavaScript, Artificial Intelligence, API, Chatbot Development, FastAPI, LLaMA",3
Prompt Engineer / Conversation Designer for AI Persona Refinement,USA,$400.00,N/A,Expert,4.4,"LLM Prompt, LLM Prompt Engineering, mythosmax, Node.js, Prompt Engineering, Chatbot, Chatbot Prompt, Chatbot Conversation Steps, Chatbot Flow Design",3
Student Recruitment for Online AI Engineering Academy,Colombia,$5.00,Hourly,Intermediate,5.0,"Content Marketing, Content Writing, Adobe Illustrator, Writing",3
Full-Stack Software Engineer - AI SEO SaaS Startup,United States,$15.00,N/A,Intermediate,N/A,"Node.js, MongoDB, API Development, React, JavaScript, Amazon Web Services, Artificial Intelligence, SaaS",3
Chatbot Developer & AI Automation Engineer to join our team,Netherlands,$10.00,Hourly,Entry level,5.0,"AI Chatbot, ChatGPT API Integration, Python, Artificial Intelligence, voiceflow, vapi, Chatbot Development",3
AI Voice Automation Engineer,United States,N/A,Hourly,Expert,N/A,"Artificial Intelligence, Machine Learning, Natural Language Processing, Chatbot Development",3
Senior AI Systems Engineer / No-Code Solutions Architect,Australia,$6.82 /hr avg hourly rate paid,Hourly,Expert,4.8,"no-code/low-code, ReactJS, NextJS, FlutterFlow, Xano, API Orchestration, vector databases",3
"Frontend Engineer Needed to Build Advanced UI for AI-Driven Trading Platform (Tailwind, React)",United States,$5.00,Hourly,Expert,5.0,"Tailwind CSS, Next.js, TypeScript, Front-End Development, UI Animation, React, REST API, web sockets",4
AI Creative Engineer – Food & Fashion Brand Visuals,United Arab Emirates,$30.00,Fixed-price,Intermediate,5.0,"AI Image Generation, AI Image Editing, Midjourney AI, Adobe Photoshop, Photo Retouching",4
AI Prompt Engineer for Recruiting and Sales Pipelines,USA,"$2,000.00",N/A,Intermediate,N/A,"LinkedIn Recruiting, Artificial Intelligence, Machine Learning, JavaScript, React, Node.js, bolt.new, claude code, windsurf, Prompt Engineering",4
AI Engineer Needed for Agentic Workflow Development,Pakistan,$15.00,Hourly,Intermediate,5.0,"LangChain, OpenAI API, Python, JavaScript, Artificial Intelligence, API, Chatbot Development, FastAPI, LLaMA",4
Prompt Engineer / Conversation Designer for AI Persona Refinement,USA,$400.00,N/A,Expert,4.4,"LLM Prompt, LLM Prompt Engineering, mythosmax, Node.js, Prompt Engineering, Chatbot, Chatbot Prompt, Chatbot Conversation Steps, Chatbot Flow Design",4
Student Recruitment for Online AI Engineering Academy,Colombia,$5.00,Hourly,Intermediate,5.0,"Content Marketing, Content Writing, Adobe Illustrator, Writing",4
Full-Stack Software Engineer - AI SEO SaaS Startup,United States,$15.00,N/A,Intermediate,N/A,"Node.js, MongoDB, API Development, React, JavaScript, Amazon Web Services, Artificial Intelligence, SaaS",4
Chatbot Developer & AI Automation Engineer to join our team,Netherlands,$10.00,Hourly,Entry level,5.0,"AI Chatbot, ChatGPT API Integration, Python, Artificial Intelligence, voiceflow, vapi, Chatbot Development",4
AI Voice Automation Engineer,United States,N/A,Hourly,Expert,N/A,"Artificial Intelligence, Machine Learning, Natural Language Processing, Chatbot Development",4
Senior AI Systems Engineer / No-Code Solutions Architect,Australia,$6.82 /hr avg hourly rate paid,Hourly,Expert,4.8,"no-code/low-code, ReactJS, NextJS, FlutterFlow, Xano, API Orchestration, vector databases",4
Experienced AI Engineer,United States,$30.00,Hourly,Intermediate,4.9,"Python, Amazon Web Services, JavaScript, MySQL, API",5
AI Voice Cloning & Video Lip-Sync Developer (Software + Sound Engineering),United States,$25.00,Hourly,Expert,5.0,"API Integration, Audio Editing, Artificial Intelligence",5
"AI Prompt Engineer for Automation of Ops, Onboarding, and Recruiting Flows",USA,$20.00,N/A,Intermediate,N/A,"Python, DevOps, Chatbot Development, Robotic Process Automation, Artificial Intelligence",5
Voice AI Prompt Engineering,USA,$20.00,Hourly,Expert,5.0,"GPT Chatbot, Productivity Chatbot, Chatbot Training, Conversational AI, Speech Synthesis, Ruby, Artificial Intelligence",5
Founding Engineer — Low-Latency Backend + AI/RAG (No Agencies),India,$10.00,Hourly,Expert,5.0,"Web Application, AI Bot, AI Development, Amazon Web Services, Python, API, Artificial Intelligence, Node.js, React, JavaScript",5
AI Video Editor/Prompt Engineer For Direct Response Adss,United States,$20.00,Hourly,Expert,5.0,"Video Editing, Artificial Intelligence, Marketing, meta ads",5
Senior Prompt Engineer (LLM / AI Specialist – Freelance),Australia,$25.00,Hourly,Expert,N/A,"ChatGPT, AI Agent Development, AI-Generated Code, LLM Prompt Engineering, ElevenLabs, Whisper AI, Claude 3, Artificial Intelligence",5
Founding Senior Engineer for AI-native Enterprise SaaS,United States,$50.00,Hourly,Expert,N/A,"Google Cloud Platform, React, Node.js, TypeScript, PostgreSQL, GCP",5
ML / AI Engineer,Czech Republic,$20.00,Hourly,Entry level,N/A,"Artificial Intelligence, AWS SageMaker, Data Science, AWS Bedrock, Machine Learning, Python",5
Senior AI Engineer – Candidate Matching Platform,Canada,$10.00,Hourly,Expert,5.0,"Machine Learning, Artificial Intelligence, Data Science, TensorFlow, Google Cloud Platform, Deep Learning, Natural Language Processing",5
AI Copywriting Prompt Engineering Coach,USA,$30.00,Hourly,Expert,4.7,"Writing, Content Writing, Creative Writing, Copywriting",6
Senior Full-Stack Engineer (Next.js + Expo + Supabase + AI) — Healthcare Platform,United States,$25.00,N/A,Expert,4.7,"Next.js, Node.js, AI App Development, TypeScript, Expo.io, Supabase, HIPAA",6
"Senior AI/LLM Product Engineer (EdTech, Production-Grade)",SAU,Fixed-price $955.00,N/A,Intermediate,4.5,"JavaScript, TypeScript, PHP, React, Next.js, Node.js, Laravel, MySQL, Redis, REST API",6
Experienced AI / Data Engineer Needed,Australia,"$10,000.00",Fixed-price,Expert,N/A,"Python, Machine Learning, Data Science, Artificial Intelligence, Data Analysis",6
Nvelope AI – Senior Full-Stack Engineer (Go-To-Market Hardening) inc Firebase +Stripe,Australia,$25.00,Hourly,Expert,N/A,"Google Cloud Platform, React, Python, API, Firebase, Stripe, i18n",6
AI Prompt Engineer & Automation Developer,United States,$10.00,N/A,Entry level,5.0,"API Integration, AI Development, Python, workflow automation, JavaScript, n8n, HighLevel, Prompt Engineering, funnel building, Low-Code Development",6
"AI Full-Stack Engineer (Next-Gen Voice, Text & Image AI Systems) Overview",United Arab Emirates,$500.00,Fixed-price,Intermediate,5.0,"AI Agent Development, Artificial Intelligence, Machine Learning, Python, Ai devlopment, Full-Stack Development",6
Prompt Engineer for AI + Clay ICP Classification,USA,$10.00,N/A,Intermediate,N/A,"Artificial Intelligence, Prompt Engineering, ChatGPT API Integration, ChatGPT Prompt, Clay",6
"AI Agent Engineer: LangGraph/Chain | RAG | LLMs (test assignment for multiple projects, ongoing)",NLD,$15.00,Hourly,Intermediate,5.0,"Conversational AI, Python, OpenAI API, LangChain",6
Senior AI Integration Engineer,Pakistan,$25.00,Hourly,Expert,N/A,"Web Application, Website Redesign, AI App Development, AI Agent Development, API, Node.js, Python, Artificial Intelligence, React, JavaScript",6
Software Engineer – AI Agent Development,United States,$15.00,N/A,Intermediate,5.0,"TypeScript, Artificial Intelligence, API",7
Backend engineer and AI/prompting Specialist,Canada,$15.00,Hourly,Intermediate,4.9,"Python, JavaScript, API, Amazon Web Services, Web Development",7
AI Prompt Prompt Engineer,United States,$30.00,Hourly,Expert,5.0,"AI Content Creation, AI Instruction, AI Model Development, AI Model Training, Claude 3, Python, Artificial Intelligence, Machine Learning",7
AI/ML Engineer – Build Custom LLM-Powered Mental Health Companion (HIPAA-Compliant),USA,$65.00 /hr avg hourly rate paid,Hourly,Expert,N/A,"Python, Smartphone, AI Chatbot, LLM Prompt, LLM Prompt Engineering, LangChain, Vector Database, Artificial Intelligence",7
Prompt Engineer / Conversation Designer for Immersive AI Chat Platform,USA,$500.00,Fixed-price,Expert,4.4,"Node.js, Prompt Engineering, LLM Prompt Engineering, LLM Prompt, mythomax, openrouter",7
AI-Based Social Media Automation Tool – Full Stack Developer / AI Engineer Needed,USA,$300.00,Fixed-price,Intermediate,N/A,"Python, Artificial Intelligence, Social Media Marketing, React",7
Nvelope AI – Senior Full-Stack Engineer (Go-To-Market Hardening) inc Firebase +Stripe,Australia,$25.00,Hourly,Expert,N/A,"Google Cloud Platform, React, Python, API, Firebase, Stripe, i18n",7
Senior Python Engineer with AI Automation Skills,United States,$30.00,Hourly,Expert,4.9,"Python, Machine Learning, Artificial Intelligence, Data Science, TensorFlow",7
"Hands on AI Principal Engineer (Fractional) for AI Native Startup, will own the AI infrastructure",United States,$25.00,Hourly,Intermediate,4.2,"AI Agent Development, AI App Development, AI Implementation, AI Model Development, Artificial Intelligence, Machine Learning, Neural Network, Deep Learning, Python, Natural Language Processing",7
"LLM-based Chatbot Engineer (Python, AI/ML)",Romania,$30.00,Hourly,Expert,4.5,"OpenAI API, AI Bot, AI App Development, ChatGPT API Integration, Chatbot, Chatbot Development, Python, JavaScript, LLM Prompt Engineering",7
Emotional AI Engineer,United States,$100.00,Hourly,Expert,N/A,"Artificial Intelligence, TensorFlow, Machine Learning, Deep Learning, Natural Language Processing, Python, Data Analysis",8
AI Prompting & Automation Software Engineer (Contractor),United States,N/A,Hourly,Intermediate,N/A,"Artificial Intelligence, Test Automation Framework, Automation, API, Prompt Engineering",8
# Data Engineer / AI Systems Architect for M&A Intelligence Platform MVP,HKG,$30.00,Hourly,Expert,N/A,"Python, Vector Database, LangChain, PostgreSQL Programming",8
N/A,Sweden,$10.00,Hourly,Intermediate,5.0,"AI App Development, Python, Web Development, Chatbot Development, n8n",8
[FULL-TIME] Senior Full-Stack AI Agent Engineer,United States,"$2,400.00",Fixed-price,Expert,4.4,"Next.js, Tailwind CSS, OpenAI API, Python, AI Agent Development, React, Amazon Web Services, JavaScript",8
AI/ML Engineer – Next-Generation Media Intelligence,Canada,$30.00,Hourly,Expert,5.0,"Python, Artificial Intelligence, Machine Learning, Artificial Neural Network, Natural Language Processing, TensorFlow, Deep Learning, Neural Network",8
AI/ML Engineer to Convert DWG or PDF Floor Plans into JSON Schemas,BIH,$25.00,Hourly,Expert,5.0,"AI Development, Machine Learning, AI Model Training, Machine Learning Algorithm, JSON",8
Ai & automation engineer,Canada,$10.00,Hourly,Intermediate,N/A,Artificial Intelligence,8
Machine Learning Engineer for AI-Powered Web Platform,Australia,$10.00,Hourly,Intermediate,5.0,"Python, Artificial Intelligence, Machine Learning, TensorFlow, Data Science",8
AI Engineer Needed for Innovative Project,GBR,$500.00,Fixed-price,Expert,5.0,Artificial Intelligence,8
"AI Prompt Engineer - Build Fast with Claude, ChatGPT & Modern Stack",United States,$3.00,Hourly,Intermediate,4.7,"API Integration, Full-Stack Development, Python, TypeScript, MySQL, Next.js, Prompt Engineering, React.js, FastAPI, AWS Services",9
Senior AI Engineer for an innovative AI-Editing tool,United States,$35.00,Hourly,Expert,N/A,Artificial Intelligence,9
AI Engineer for In-house Product Development,British Virgin Islands,$15.00,Hourly,Intermediate,N/A,"API Integration, Google Sheets Automation, Google Apps Script, Product Design, Supabase, SQL, Lovable, AI Product Management",9
Machine Learning Engineer for AI-Powered Dating Platform (Founding Role Opportunity),United States,$5.00,Hourly,Expert,5.0,"Reinforcement Learning, Supervised Learning, Unsupervised Learning, Deep Learning, Artificial Intelligence, Machine Learning, Natural Language Processing, Artificial Neural Network, TensorFlow, Python",9
Fractional AI/ML Engineer - Azure Client-App Lead,United States,$60.00,Hourly,Expert,N/A,"Microsoft Azure, Python, Docker, IaC, CI/CD, PII encryption, SaaS Development",9
AI Receptionist Prompt Engineer (Retell.ai),United States,$10.00,Hourly,Intermediate,N/A,"Lead Generation, Artificial Intelligence, Natural Language Processing",9
Backend + AI Engineer(s) for Solana Trading Bot & Terminal (Discord/TG + Web),Madagascar,$80.00,N/A,Expert,5.0,"Database, SQL, GraphQL, Python, Node.js, API, Artificial Intelligence, API Integration, Solana, Bot Development",9
Senior AI Agent Engineer (Shopify/DTC) — Build a Telegram “Operations & Analytics Copilot”,United States,$30.00,N/A,Expert,5.0,"AI Development, AI Agent Development, AI agents, API Integration, Shopify, API",9
Senior Python/AI Engineer Needed for Innovative Project,UKR,$10.00,Hourly,Expert,5.0,"Python, Machine Learning, TensorFlow, Data Science, Artificial Intelligence",9
An expert AI engineer is needed to build an AI agent,United States,$13.48 /hr avg hourly rate paid,Hourly,Expert,4.8,"AI Agent Development, Artificial Intelligence",9
Senior Full-Stack / Backend Engineer – Real Estate CRM + AI Integration + SMS/Email Integration,Cayman Islands,$10.00,Hourly,Expert,5.0,"Node.js, Twilio API, ChatGPT API Integration, CRM APIs, FollowUpBoss, OpenAI / LLM APIs, MLS APIs, API, Digital Ocean, Prisma",10
Backend Software Engineer (Generative AI and Agentic AI integration),Australia,$25.00,Hourly,Intermediate,N/A,"Python, AI Model Integration, API Integration, AI Agent Development, Container, Database Integration",10
AI Copywriting Prompt Engineering Coach,USA,$30.00,Hourly,Expert,4.7,"Writing, Content Writing, Creative Writing, Copywriting",10
Need an AI first Engineer with ability to build full stack and work with LLMs,India,$25.00,Hourly,Expert,5.0,"AI Agent Development, Python, LLM Prompt Engineering, Vector Database, Web Development, Cloud Architecture",10
Looking for an AI Engineer,Israel,$6.26 /hr avg hourly rate paid,N/A,Expert,4.9,"Web Design, Landing Page, API Integration, Bug Fix, Ecommerce Backup & Migration, PHP, Web Development, HTML, API",10
Prompt Engineer for AI Driven App Development,United States,$15.00,Hourly,Intermediate,5.0,"OpenAI API, Android, Python, JavaScript, Java, Artificial Intelligence, Prompt Engineering",10
Sr AI Engineer needed for AI job matching system,Canada,$8.00,Hourly,Intermediate,5.0,"Artificial Intelligence, Python, cursor, Machine Learning, LLM Prompt Engineering, OpenAI API",10
AI/ML Engineer – Immediate Plan Review + Whisper STT & LoRA NLP Build,Portugal,$30.00,Hourly,Expert,5.0,"Automatic Speech Recognition, NLP Tokenization, AI Model Integration, Data Preprocessing, AI App Development, AI Implementation, Python, Machine Learning",10
Lead AI Engineer RAG Platform,Canada,$40.00,Hourly,Intermediate,4.9,"PostgreSQL, Azure DevOps, Python, AI Agent Development",10
Senior n8n Automation Engineer + AI Agent Orchestrator (Individual Only — No Agencies),Canada,$15.00,Hourly,Expert,4.9,"Artificial Intelligence, n8n, ai agents, workflow automation, LLM Orchestration, Notion API, Slack API, JavaScript",10
Full Stack Engineer Specializing in AI Development,United States,$25.00,Hourly,Intermediate,N/A,"Full-Stack Development, Artificial Intelligence",11
WANTED: AI Engineer – Conversational Training for Real Estate Qualification Calls,United Arab Emirates,$8.00,Hourly,Expert,5.0,"Tech & IT, Sales & Marketing, Education, B2C Marketing, Cold Calling, Data Entry, Customer Service, Telemarketing, Telemarketing Scriptwriting, Outbound Sales",11
AI Engineer,United States,$15.00,Hourly,Intermediate,N/A,"Artificial Intelligence, Neural Network, Python, TensorFlow, Machine Learning, Artificial Neural Network, Deep Learning, Algorithm Development, Deep Neural Network",11
Senior LLM Pipeline Engineer – AI Architect for Generative AI Systems,Cayman Islands,$10.00,Hourly,Expert,5.0,"Python, LLMs, Generative AI, LangChain, Vector Databases, AWS Bedrock, GCP, LaTeX, LLM Prompt Engineering",11
Hands-on AI Engineer GCP Vertex AI Experience.,United States,$12.00,Hourly,Intermediate,5.0,"AI Model Development, Chatbot Development, Python, Google Cloud Platform, Artificial Intelligence",11
AI Prompt Engineer for Structured HTML Product Descriptions (ATM Parts),United States,$10.00,Fixed-price,Intermediate,4.2,N/A,11
AI Engineer Needed: Instruct-Pix2Pix Image Recoloring with Exact Color Matching,Canada,$100.00,Fixed-price,Intermediate,4.6,"Stable Diffusion, Diffusion Model, CUDA, FastAPI",11
"AI Solutions & Prompt Engineer (Chatbots, Voice AI, and Automation Platforms) - Philippines",Australia,"$1,200.00",Fixed-price,Expert,4.3,"Conversational AI, AI Chatbot, Chatbot Integration, Artificial Intelligence, Chatbot Development, Machine Learning, Natural Language Processing, AI Agent Development, AI Builder, AI integration",11
Full Stack + AI Engineer,Switzerland,$10.00,Hourly,Intermediate,5.0,"Web Application, Full-Stack Development, Software Debugging, Python",11
AI Engineer Needed for SaaS MVP Development,United Kingdom,$15.00,Hourly,Intermediate,4.1,"TypeScript, AI Development, API Integration, Full-Stack Development, Web Application, Database Development, Python, React, Amazon Web Services, JavaScript",11
"Python + AI Backend Engineer (Hourly, FastAPI, LLM Ops) — Immediate Start",United States,$15.00,Hourly,Intermediate,N/A,"Django, OpenAI API, AI App Development, AI Bot, Python, FastAPI, REST API, Python Asyncio, Vector Database, aws/gcp",12
Sr. AI Engineer,Czech Republic,$35.00,Hourly,Expert,N/A,"Azure Machine Learning, Python, Artificial Intelligence, FastAPI, Data Science",12
AI Engineer Needed for Innovative Projects,United States,$10.00,Hourly,Intermediate,N/A,"LLM Prompt Engineering, Python, Artificial Intelligence, Machine Learning, Data Scientist",12
"Senior Document AI Engineer (LLM, LayoutLM) for Information Extraction",United States,$39.50 /hr avg hourly rate paid,Hourly,Expert,4.7,"Document AI, Data Extraction, Python, LLM Prompt Engineering, LLM fine tuning, Accuracy Verification",12
Senior Prompt Engineer (LLM / AI Specialist – Freelance),South Africa,$25.00,Hourly,Expert,N/A,"ChatGPT, AI Agent Development, AI-Generated Code, LLM Prompt Engineering, Whisper AI, ElevenLabs, Claude 3, Artificial Intelligence",12
Senior Customer Success Engineer (AI Voice Automation),United Kingdom,$14.00,N/A,Expert,5.0,"Customer Service, Chatbot Development, Customer Support",12
AI Engineer,BHR,$15.00,Hourly,Intermediate,4.9,"Azure Machine Learning, Open AI, Gemini, Vertex AI, LangChain",12
Backend Engineer Needed for Eleven Labs Conversational AI Project,United States,$24.87 /hr avg hourly rate paid,Hourly,Intermediate,4.8,"Python, API, Node.js, eleven labs, Conversational AI",12
"AI-Augmented Systems Engineer with Supabase, NetSuite & BigCommerce Expertise",United States,$15.00,N/A,Intermediate,5.0,"JavaScript, API, API Integration, HTML, Python, SQL, Oracle NetSuite",12
"Prompt Engineer / AI Specialist (Azure OpenAI, NLP)",Australia,$15.00,Hourly,Intermediate,4.8,"Python, Prompt Engineering, Azure OpenAI Service, AI Prompt Optimization, OpenAI API",12
Senior Video Editing Platform Builder & AI Integration Engineer,USA,$25.00,Hourly,Expert,N/A,"API Integration, AI Model Integration, JavaScript, Python, React, Node.js, API, FFmpeg, bolt.new",13
Engineer to build an AI memory system on top of Graphiti,GBR,$12.46 /hr avg hourly rate paid,Hourly,Expert,5.0,"Artificial Intelligence, Python, Neural Network, Artificial Neural Network, Machine Learning, Deep Learning",13
Technical Co-Founder/CTO Needed for AI-Driven Engineering Software,Albania,N/A,Hourly,Expert,N/A,"Artificial Intelligence, Machine Learning",13
AI Agent Engineer — Company-Wide Diligence & Efficiency Insights,United States,$13.81 /hr avg hourly rate paid,Hourly,Expert,5.0,"Machine Learning, AI Agent Development, Business Intelligence",13
"Next.js + GCP Full-Stack Engineer | YouTube Summarizer MVP (Supabase, Stripe, OpenAI)",United States,"$2,500.00",Fixed-price,Expert,3.3,"Next.js, Tailwind CSS, Google Cloud Platform, Node.js, OpenAI API, JavaScript, PostgreSQL, react.js, Supabase, Stripe",13
Senior Machine Learning Engineer / Senior AI Engineer (Contract) (Full time/Part time),United States,$15.00,Hourly,Expert,4.6,"Python, Data Science, Machine Learning, JavaScript, React, Artificial Intelligence, Natural Language Processing, Amazon Web Services",13
Prompt Engineer (AI Animal Training Assistant),Germany,$49.93 /hr avg hourly rate paid,Hourly,Expert,5.0,"React, chat gpt, Artificial Intelligence",13
Full-Stack AI Automation Engineer for Bond Cleaning Company,South Africa,$100.00,Fixed-price,Expert,N/A,"PHP, API Development, Python, JavaScript, API, Machine Learning, Amazon Web Services, Website",13
Text-to-Image AI Engineer (China Only),United States,$10.00,Hourly,Expert,5.0,"AI Agent Development, AI Model Integration, Artificial Intelligence, Machine Learning, AI Image Generation, Chinese",13
AI & Automation Engineer – Legal Transcripts → Auto-Generated Documents (CMS Integration),United Kingdom,$160.00,Fixed-price,Expert,N/A,"AI Bot, AI Agent Development, AI Model Integration, Automation, API, Artificial Intelligence",13
Full-Stack Engineer - Enterprise Voice AI Platform,United States,$20.00,N/A,Intermediate,N/A,"Next.js, Tailwind CSS, Full-Stack Development, Nest.js, Prisma, Shadcn",14
AI/SLAM/Autonomy Engineer,United States,$19.58 /hr avg hourly rate paid,Hourly,Expert,5.0,"OpenCV, Artificial Intelligence, SLAM, ArduPilot",14
Backend Engineer Needed for AI Company Development,USA,$15.00,Hourly,Expert,N/A,"Python, API, JavaScript, Web Development, Amazon Web Services",14
AI Prompt Engineer / LLM Specialist for Agricultural Data App (GPT-4.1 → GPT-5),USA,$30.00,N/A,Expert,N/A,"AI Development, AI App Development, AI Agent Development, Machine Learning",14
AI Workflow Engineer (LangFlow + MCP) – Fast-Track Deployment,USA,$20.00,Hourly,Expert,N/A,"LangChain, Microsoft Azure, AI Agent Development, langflow, MCP Protocol, CRM Automation, agentic ai",14
"Full-Stack AI Engineer: AI MVPs, Automation & Data Pipelines""",USA,$15.00,Hourly,Intermediate,N/A,"TypeScript, React, Full-Stack Development, Python, Machine Learning, Data Engineering, Node.js, Artificial Intelligence, n8n",14
AI Engineer – Multi-Agent Systems for Healthcare,United States,$25.00,Hourly,Expert,N/A,"AI Agent Development, Healthcare",14
Machine Learning Engineer (RAG & LLM Integration) – Metadata-Driven AI Assistant MVP,United Kingdom,"$10,000.00",Fixed-price,Expert,5.0,"Machine Learning, Natural Language Processing, Large Language Model, Python, Amazon Web Services",14
Senior Backend Engineer for AI Platform Development,United States,$11.00,Hourly,Expert,4.0,"Python, API, JavaScript, Amazon Web Services, React",14
Expert AI Agent Debugging & Optimization Engineer (Fixed-Time Contract),United States,$5.00 /hr avg hourly rate paid,Hourly,Expert,5.0,"Python Engineering, Vector Database Mastery, Cloud & Infrastructure, Observability & Monitoring, Independent Delivery, Python, Amazon Web Services, Machine Learning, DevOps",14
n8n AI Agent Wizard Engineer for Multiple jobs,Australia,$15.00,Hourly,Intermediate,4.4,"AI Agent Development, Artificial Intelligence, Automation, API",15
Generative AI Solutions Engineer to build AI agents,Australia,$25.00,Hourly,Intermediate,N/A,LangChain,15
FFmpeg/Python Engineer — Speed Up AI Video Pipeline + Subtitles + Multi-Channel,AUS,"$1,500.00",Fixed-price,Expert,4.1,"AI Agent Development, FFmpeg, Python, Machine Learning, Artificial Intelligence, Video Animation, AWS CodeDeploy, ngrok, AWS CodePipeline",15
AI Prompt Engineer for Recruiting and Sales Pipelines,USA,"$2,000.00",N/A,Intermediate,N/A,"LinkedIn Recruiting, Artificial Intelligence, Machine Learning, JavaScript, React, Node.js, bolt.new, claude code, windsurf, Prompt Engineering",15
Senior AI Image Gen Engineer (Freelance),USA,$34.40 /hr avg hourly rate paid,N/A,Expert,4.9,"Python, LoRa, Stable Diffusion",15
